Vios Jurídico - Baixa de Títulos Pagar / Receber;;;;;;;;;;;;;;;;;;;;;;;;;
CI Título;CI Parcela;Etiquetas;Data Vencimento;Data Vencimento Orig.;Dias em Atraso;Competência;Tipo;Forma;Nro Título;Reincidência;NF;Cliente;Descrição;Valor;Valor Atualizado;Valor Título;Desconto Previsto;Desconto Realizado;Valor Pago;Data Baixa;Data de Crédito/Débito;Tem Valor Retido?;Contrato;Plano de Contas;Moeda
8467;8472;Liberado no Banco;01/07/2025;01/07/2025;0;01/07/2025;PAGAR;Pix;1785-1;1/1;;ALMIR POLYCARPO;Adiantamento de lucros Almir Polycarpo;-4500;---;-4500;0;0;-4500;01/07/2025;00/00/0000;Não;;Retirada dos sócios;
8239;8246;;01/07/2025;01/07/2025;0;25/06/2025;PAGAR;Debito Automatico;1546-1;1/1;;BANCO BRADESCO CARTOES S/A;"AASP PARCELA 003/003



ASSOCIAÇÃO ADVOGADOS DE SÃO PAULO


COMBUSTÍVEL



POSTO DA GRUTA


GAMMA.APP


IOF S/TRANS INTER REAIS



DUFFLES E POLICARPO


OAB - PARCELA 005/012";-644,68;---;-644,68;0;0;-644,68;01/07/2025;00/00/0000;Não;;Combustível, Informática - Softwares , IOF, OAB e Associações;Real
8450;8455;;01/07/2025;01/07/2025;0;01/07/2025;RECEBER;On line;1768-1;1/1;;BANCO BRADESCO S/A;Rendimento aplicação automática - Invest Fácil;0,02;---;0,02;0;0;0,02;01/07/2025;00/00/0000;Não;;Aplicação de valores em investimento;
8343;8348;;01/07/2025;01/07/2025;0;01/07/2025;PAGAR;On line;1659-1;1/1;;BANCO C6 S.A.;IOF CHEQUE ESPECIAL;-21,02;---;-21,02;0;0;-21,02;01/07/2025;00/00/0000;Não;;IOF;
8144;8152;;01/07/2025;01/07/2025;0;04/06/2025;RECEBER;Pix;1425-1;1/1;;Distribuidora de Bebidas Tm Ltda;"Reembolso de despesa Custas Judiciais do fornecedor CREDLOCALIZA SERVICOS DE APOIO ADMINISTRATIVO LTDA - Origem: Processo (0037317-89.2024.8.26.0002 | CI: 652) - 

Distribuidora de Bebidas Tm Ltda - Processo 0037317-89.2024.8.26.0002



Custas para emissão de pesquisa de patrimônio, sociedade e ficha de CPF da parte contrária.";40;---;40;0;0;40;31/07/2025;00/00/0000;Não;Dádiva - Contencioso Cível - DÁDIVA - CONTENCIOSO CÍVEL;Reembolso de valores;
8180;8188;;01/07/2025;01/07/2025;0;10/06/2025;RECEBER;Pix;1462-1;1/1;;Indústria de Bebidas Lt Ltda.;"Reembolso de despesa Cursos e treinamentosq do fornecedor SECRETARIA DA FAZENDA DO ESTADO DO AMAPA - Origem: Processo (0000892-33.2023.8.03.0004 | CI: 622) - 

Pesquisa de dados cadastrais da empresa devedora. Indústria de Bebidas Lt Ltda. X CHIESA E FERREIRA LTDA - EPP - Processo 0000892-33.2023.8.03.0004";32,92;---;32,92;0;0;32,92;31/07/2025;00/00/0000;Não;Dádiva - Indústria - Contencioso Cível;Conta corrente;
8142;8150;;01/07/2025;01/07/2025;0;04/06/2025;RECEBER;Pix;1423-1;1/1;;INOVA TS ENGENHARIA LTDA;"Reembolso de despesa Custas Judiciais do fornecedor CREDLOCALIZA SERVICOS DE APOIO ADMINISTRATIVO LTDA - Origem: Processo (1009017-60.2025.8.26.0004 | CI: 1109) - 

INOVA TS ENGENHARIA LTDA - Processo 1009017-60.2025.8.26.0004



Custas para emissão de pesquisa de protesto no CNPJ da Inova para apresentar em juízo em anexo ao pedido liminar para baixa de protesto.";23,62;---;23,62;0;0;23,62;28/07/2025;00/00/0000;Não;Inova TS - Contencioso Cível - INOVA - Contencioso Cível;Reembolso de valores;
8139;8147;;01/07/2025;01/07/2025;0;04/06/2025;RECEBER;Boleto;1420-1;1/1;;Platlog Importação, Logística e Distribuição Ltda;"Reembolso de despesa Custas Judiciais do fornecedor TRIBUNAL DE JUSTICA - Origem: Processo (5018983-55.2024.8.24.0008 | CI: 1065) - 

Custas de citação por hora certa - Processo 5018983-55.2024.8.24.0008";34,7;---;34,7;0;0;34,7;16/07/2025;00/00/0000;Não;Platlog - Êxito - Contencioso Cível - Remuneração no êxito;Reembolso de valores;
8178;8186;;01/07/2025;01/07/2025;0;10/06/2025;RECEBER;Pix;1460-1;1/1;;Platlog Importação, Logística e Distribuição Ltda;"Reembolso de despesa Custas Judiciais do fornecedor Tribunal de Justiça do Estado de Goiás - Origem: Processo (5518608-89.2018.8.09.0051 | CI: 532) - 
Emissão de guia complementar de locomoção.";28,41;---;28,41;0;0;28,41;16/07/2025;00/00/0000;Não;Platlog - Êxito - Contencioso Cível - Remuneração no êxito;Reembolso de valores;
8198;8205;;01/07/2025;01/07/2025;0;17/06/2025;RECEBER;Pix;1487-1;1/1;;Platlog Importação, Logística e Distribuição Ltda;"Reembolso de despesa Cursos e treinamentosq do fornecedor TRIBUNAL DE JUSTICA - Origem: Processo (0723073-19.2022.8.07.0001 | CI: 565) -




Custas de incidente de desconsideração da personalidade jurídica - Platlog Importação, Logística e Distribuição Ltda X Spoleto 307 Sul Comercio de Alimentos - Processo 0723073-19.2022.8.07.0001";241,04;---;241,04;0;0;241,04;16/07/2025;00/00/0000;Não;Platlog - Êxito - Contencioso Cível - Remuneração no êxito;Conta corrente;
