Vios Jurídico - Baixa de Títulos Pagar / Receber;;;;;;;;;;;;;;;;;;;;;;;;;
CI Título;CI Parcela;Etiquetas;Data Vencimento;Data Vencimento Orig.;Dias em Atraso;Competência;Tipo;Forma;Nro Título;Reincidência;NF;Cliente;Descrição;Valor;Valor Atualizado;Valor Título;Desconto Previsto;Desconto Realizado;Valor Pago;Data Baixa;Data de Crédito/Débito;Tem Valor Retido?;Contrato;Plano de Contas;Moeda
8619;8622;;01/10/2025;01/10/2025;0;01/10/2025;PAGAR;On line;1953-1;1/1;;BANCO BRADESCO CARTOES S/A;"ANUIDADE 01/04


ESTACIONAMENTO


GAMMA. APP


IOF SOBRE TRANSAÇÕES EXTERIOR  -  DUFFLES E POLYCARPO


OAB PARCELA 08/012";-224,54;---;-224,54;0;0;-224,54;01/10/2025;00/00/0000;Não;;Estacionamento, Informática - Softwares , IOF, OAB e Associações, Tarifas e custos bancários;Real
8829;8832;;01/10/2025;01/10/2025;0;01/10/2025;RECEBER;On line;2172-1;1/1;;BANCO DO BRASIL S/A;Resgate automático aplicação financeira -Rende Fácil;1000;---;1000;0;0;1000;01/10/2025;00/00/0000;Não;;Baixa de aplicação;
8537;8542;;01/10/2025;01/10/2025;0;02/09/2025;RECEBER;Pix;1861-1;1/1;;Belcorp do Brasil Distribuidora de Cosmeticos Ltda.;"Reembolso de despesa Custas Judiciais do fornecedor CREDLOCALIZA SERVICOS DE APOIO ADMINISTRATIVO LTDA - Origem: Processo (0021749-70.2016.8.19.0208 | CI: 528) - 

Jose Augusto Bandeira de Mello Ferreira X Belcorp do Brasil Distribuidora de Cosmeticos Ltda. - Processo 0021749-70.2016.8.19.0208

Custas para busca de bens e participação em nome de Jose Augusto Bandeira de Mello";15;---;15;0;0;15;31/10/2025;00/00/0000;Não;Belcorp Bandeira - BELCORP - BANDEIRA;Reembolso de valores;
8614;8619;;01/10/2025;01/10/2025;0;30/09/2025;RECEBER;Pix;1946-1;1/1;;Belcorp do Brasil Distribuidora de Cosmeticos Ltda.;"Reembolso de despesa Custas Judiciais do fornecedor Brazil Translations - Origem: Atendimento (CI: 771 | Pasta: 362) - 
 



Honorários referentes às traduções das procurações atualizadas da Belcorp Beauty.";320;---;320;0;0;320;09/12/2025;00/00/0000;Não;Time Sheet - Corporativo - Horas trabalhadas no regime de time sheet para o corporativo;Reembolso de valores;
8552;8557;;01/10/2025;01/10/2025;0;09/09/2025;RECEBER;Pix;1877-1;1/1;;EDVALDO AILDER CATALANI MORATA;"Reembolso de despesa Custas Judiciais do fornecedor CARTORIO - Origem: Atendimento (CI: 751) - 

Custas para emissão da certidão de casamento retificada.";323;---;323;0;0;323;15/10/2025;00/00/0000;Não;Edvaldo Morata - Time Sheet;Reembolso de valores;
8608;8613;;01/10/2025;01/10/2025;0;30/09/2025;RECEBER;Pix;1940-1;1/1;;EDVALDO AILDER CATALANI MORATA;"Reembolso de despesa Custas Judiciais do fornecedor 12 CARTORIO DE NOTAS - Origem: Atendimento (CI: 751) - 
Custas para apostilamento da certidão de casamento retificada.";334;---;334;0;0;334;15/10/2025;00/00/0000;Não;Edvaldo Morata - Time Sheet;Reembolso de valores;
8610;8615;;01/10/2025;01/10/2025;0;30/09/2025;RECEBER;Pix;1942-1;1/1;;EDVALDO AILDER CATALANI MORATA;"Reembolso de despesa Custas Judiciais do fornecedor CARTORIO - Origem: Atendimento (CI: 751) - 

Custas para retificação de registro civil em Santo Anastácio.";308,63;---;308,63;0;0;308,63;15/10/2025;00/00/0000;Não;Edvaldo Morata - Time Sheet;Reembolso de valores;
8612;8617;;01/10/2025;01/10/2025;0;01/10/2025;RECEBER;Pix;1944-1;1/1;;Maria Paloma Medeiros Siqueiros;Pagamento referente a representação legal em audiência em 03/09/2025 - PROCESSO 0100290-78.2025.5.01.0071;1800,04;---;1800,04;0;0;1800,44;01/10/2025;00/00/0000;Não;;Reembolso de valores;
8730;8733;;02/10/2025;02/10/2025;0;02/10/2025;PAGAR;On line;2068-1;1/1;;BANCO C6 S.A.;Adiantamento de lucros;-2000;---;-2000;0;0;-2000;02/10/2025;00/00/0000;Não;;Retirada dos sócios;
8830;8833;;02/10/2025;02/10/2025;0;02/10/2025;RECEBER;On line;2173-1;1/1;;BANCO DO BRASIL S/A;Resgate automático aplicação financeira -Rende Fácil;111,06;---;111,06;0;0;111,06;02/10/2025;00/00/0000;Não;;Baixa de aplicação;
8820;8823;;02/10/2025;02/10/2025;0;02/10/2025;RECEBER;On line;2163-1;1/1;;BANCO ITAU S/A;Rendimento aplicação financeira automática - Aut Mais;0,01;---;0,01;0;0;0,01;02/10/2025;00/00/0000;Não;;Baixa de aplicação;
8738;8741;;02/10/2025;02/10/2025;0;02/10/2025;PAGAR;Boleto;2076-1;1/1;;Tribunal de Justiça de São Paulo;"Pagamento de despesa reembolsável de Cursos e treinamentosq do cliente 4fx - Assessoria Empresarial Ltda - Origem: Processo (0033715-53.2025.8.26.0100 | CI: 1123) - 

4fx - Assessoria Empresarial Ltda X Onebroker Administradora e Corretora de Seguros Ltda. - Processo 0033715-53.2025.8.26.0100";-111,06;---;-111,06;0;0;-111,06;02/10/2025;00/00/0000;Não;4 fx - Uniqq - 4FX - UNIQQ;Prestadores de Serviço;
8731;8734;;03/10/2025;03/10/2025;0;03/10/2025;RECEBER;On line;2069-1;1/1;;BANCO BRADESCO S/A;Rendimento aplicação financeira automática - INVEST FÁCIL;0,01;---;0,01;0;0;0,01;03/10/2025;00/00/0000;Não;;Baixa de aplicação;
4661;4661;;03/10/2025;03/10/2025;0;03/10/2025;PAGAR;Pix;-;1/1;;BANCO C6 S.A.;Seguro de contaSeguro conta corrente;-20;20;-20;0;0;-20;03/10/2025;00/00/0000;Não;;Aluguel;Real
8722;8725;;03/10/2025;03/10/2025;0;03/10/2025;PAGAR;On line;2060-1;1/1;;BANCO C6 S.A.;Pedágio;-3;---;-3;0;0;-3;03/10/2025;00/00/0000;Não;;Transporte e pedágio;
7525;7532;;03/10/2025;03/10/2025;0;03/10/2025;PAGAR;Debito Automatico;720-1;8/34;;BANCO C6 S.A.;Seguro conta corrente - mensal;-20;---;-20;0;0;-20;03/10/2025;00/00/0000;Não;;Tarifas e custos bancários;Real
8605;8610;;03/10/2025;03/10/2025;0;26/09/2025;RECEBER;Pix;1937-1;1/1;;Yofc Brasil Cabos e Solucoes Ltda;"Honorário de êxito, conforme Cláusula 2.1 (iii) do Contrato de Honorários de 25/06/2025, 5% sobre o valor da dívida extinta atualizados até o mês do êxito da ação judicial.



Valor atualizado do débito R$ 860.893, 94 - honorários 5%: R$ 43.044,69



TROCA DE E-MAILS ENTRE POLYCARPO E YOFC, DE ACORDO COM O TEXTO ABAIXO:



“Conforme conversamos por telefone, chegamos a um ponto de equilíbrio entre os dois cálculos: o que fizemos aplicando a SELIC acumulada mês a mês e o valor que consta na DARF.



 Assim, nossa nova proposta considera a base intermediária de R$ 622.363,89, sobre a qual aplicamos o percentual de 5% de honorários do êxito, resultando em R$ 31.118,19.”";29204,42;---;31118,19;0;0;29204,42;08/10/2025;00/00/0000;Sim;YOFC - Mandado de Segurança Compensação de Ofício nº 08114-00000737/2025 - Propositura de Mandado de Segurança para reconhecimento da prescrição do crédito exigido, com pedido de liminar para conceder o efeito suspensivo da dívida permitindo a obtenção de certidões negativas.;Êxito;
7246;7246;;05/10/2025;05/10/2025;0;05/09/2025;PAGAR;Pix;355-1;8/11;;ALMIR POLYCARPO;Pro-labore;-1351,02;---;-1351,02;0;0;-1351,02;03/10/2025;00/00/0000;Não;;Pró-labore;Real
7257;7257;;05/10/2025;05/10/2025;0;05/09/2025;PAGAR;Pix;366-1;8/11;;ANDREI GOMES DA SILVA PINTO;Pro-labore;-1351,02;---;-1351,02;0;0;-1351,02;03/10/2025;00/00/0000;Não;;Pró-labore;Real
7268;7268;;05/10/2025;05/10/2025;0;05/09/2025;PAGAR;Pix;377-1;8/11;;FLAVIA MARTINS FUZARO POLYCARPO;Pro-labore;-1351,02;---;-1351,02;0;0;-1351,02;03/10/2025;00/00/0000;Não;;Pró-labore;Real
8732;8735;;06/10/2025;06/10/2025;0;06/10/2024;RECEBER;On line;2070-1;1/1;;BANCO BRADESCO S/A;Rendimento aplicação financeira automática - INVEST FÁCIL;0,01;---;0,01;0;0;0,01;06/10/2025;00/00/0000;Não;;Baixa de aplicação;
5556;5556;;06/10/2025;06/10/2025;0;06/10/2025;PAGAR;On line;-;1/1;;BANCO ITAU;Tarifa bancáriaTAR PLANO ADAPT;-159;---;-159;0;0;-159;02/10/2025;00/00/0000;Não;;Aluguel;Real
8629;8632;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1963-1;1/1;;EDVALDO AILDER CATALANI MORATA;"Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - POR HORA TRABALHADA

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Por hora trabalhada - 2. Arredondamento de 5 em 5 min (CI 2)' no período de 01/09/2025 à 30/09/2025.



 • Andrei Gomes da Silva Pinto • Horário Original: 00:30:00 • APONTAMENTO DE HORAS • CI 3179

 • Andrei Gomes da Silva Pinto • Horário Original: 00:30:00 • APONTAMENTO DE HORAS • CI 3244

Lançamento proveniente de regra de contrato (CI 113).";400;---;400;0;0;400;15/10/2025;00/00/0000;Não;Edvaldo Morata - Time Sheet;Hora trabalhada;
